"stop_id","stop_name","stop_desc","stop_lon","stop_lat"
"90322","Trevose","Not Shady   ",-74.9825,40.1402778
"90533","Colmar","Not Shady   ",-75.2544444,40.2683333
"90806","Upsal","Not Shady  Energy Bill Help within a mile",-75.19,40.0425
"90415","Willow Grove","Not Shady   ",-75.1141667,40.1438889
"90324","Langhorne","Not Shady   ",-74.9125,40.1608333
"90204","Claymont","Not Shady   ",-75.4522222,39.7977778
"90226","Norristown T.C.","Not Shady   ",-75.3441667,40.1127778
"90222","Ivy Ridge","Not Shady   ",-75.2355556,40.0341667
"90320","Forest Hills","Not Shady   ",-75.0205556,40.1277778
"90304","Wallingford","Not Shady   ",-75.3719444,39.9036111
"90309","Clifton-Aldan","Not Shady   ",-75.2902778,39.9266667
"90502","Downingtown","Not Shady   ",-75.7102778,40.0022222
"90210","Ridley Park","Not Shady   ",-75.3222222,39.8805556
"90201","Newark","Not Shady   ",-75.7527778,39.6705556
"90710","Bridesburg","Not Shady   ",-75.0697222,40.0105556
"90314","49th Street","Not Shady   ",-75.2166667,39.9436111
"91004","30th St Lower Level","Decently Shady  Energy Bill Help within a mile",-75.1883333,39.9591667
"90529","North Wales","Not Shady   ",-75.2772222,40.2141667
"90713","Germantown","Not Shady Housing Help within half a mile, Neighborhood Advisory Committee within half a mileEnergy Bill Help  within half a mile",-75.1716667,40.0375
"90808","Chelten Avenue","Kind of Shady Housing Help within a mile, Neighborhood Advisory Committee within a mileEnergy Bill Help within a mile",-75.1808333,40.03
"90528","Gwynedd Valley","Not Shady   ",-75.2569444,40.1847222
"90801","Chestnut Hill West","Kind of Shady   ",-75.2083333,40.0763889
"90206","Highland Avenue","Not Shady   ",-75.3933333,39.8336111
"90714","Washington Lane","Not Shady   ",-75.1713889,40.0508333
"90509","Devon","Not Shady   ",-75.4227778,40.0472222
"90308","Primos","Not Shady   ",-75.2983333,39.9216667
"90720","Chestnut Hill East","Not Shady   ",-75.2072222,40.0811111
"90004","30th Street Station","Not Shady   ",-75.1816667,39.9566667
"90716","Sedgwick","Decently Shady   ",-75.1852778,40.0627778
"90410","Jenkintown Wyncote","Not Shady   ",-75.1375,40.0927778
"90312","Fernwood-Yeadon","Not Shady   ",-75.2558333,39.9397222
"90211","Prospect Park - Moore","Not Shady   ",-75.3088889,39.8883333
"90415","Willow Grove","Not Shady   ",-75.1141667,40.1438889
"90507","Daylesford","Not Shady   ",-75.4605556,40.0430556
"90804","Allen Lane","Not Shady   ",-75.1947222,40.0575
